type,name,x,y
block,BrownBlock2,124,417
block,BrownBlock2,140,417
block,BrownBlock2,172,417
block,BrownBlock2,204,417
block,BrownBlock2,236,417
block,BrownBlock2,268,417
block,BrownBlock2,300,417
block,BrownBlock2,332,417
block,BrownBlock2,364,417
block,BrownBlock2,396,417
block,BrownBlock2,428,417
block,BrownBlock2,460,417
block,BrownBlock2,492,417
block,BrownBlock2,510,417
block,BrownBlock2,600,417
block,BrownBlock2,632,417
block,BrownBlock2,124,449
block,BrownBlock2,140,449
block,BrownBlock2,172,449
block,BrownBlock2,204,449
block,BrownBlock2,236,449
block,BrownBlock2,268,449
block,BrownBlock2,300,449
block,BrownBlock2,332,449
block,BrownBlock2,364,449
block,BrownBlock2,396,449
block,BrownBlock2,428,449
block,BrownBlock2,460,449
block,BrownBlock2,492,449
block,BrownBlock2,510,449
block,BrownBlock2,600,449
block,BrownBlock2,632,449
block,BrownBlock2,300,385
block,BrownBlock2,300,385
block,BrownBlock2,300,385
block,BrownBlock2,300,385
block,BrownBlock1,300,385
block,BrownBlock1,332,385
block,BrownBlock1,364,385
block,BrownBlock1,396,385
block,BrownBlock1,300,353
block,BrownBlock1,332,353
block,BrownBlock1,364,353
block,BrownBlock1,396,353
block,BrownBlock1,300,321
block,BrownBlock1,332,321
block,BrownBlock1,364,321
block,BrownBlock1,396,321
block,pipe,535,350
item,Coin,316,260
item,Coin,348,260
item,Coin,380,260
item,Coin,316,200
item,Coin,348,200
item,Coin,380,200
