type,name,x,y
block,BrownBlock1,232,300
block,BrownBlock1,262,300
block,BrownBlock1,292,300
block,BrownBlock1,322,300
block,BrownBlock1,352,300
block,BrownBlock1,382,300
block,BrownBlock1,1400,390
block,BrownBlock1,1432,390
block,BrownBlock1,1464,390
block,BrownBlock1,1496,390
block,BrownBlock1,1528,390
block,BrownBlock1,1560,390
block,BrownBlock1,1592,390
block,BrownBlock1,1624,390
block,BrownBlock1,1432,358
block,BrownBlock1,1464,358
block,BrownBlock1,1496,358
block,BrownBlock1,1528,358
block,BrownBlock1,1560,358
block,BrownBlock1,1592,358
block,BrownBlock1,1624,358
block,BrownBlock1,1464,326
block,BrownBlock1,1496,326
block,BrownBlock1,1528,326
block,BrownBlock1,1560,326
block,BrownBlock1,1592,326
block,BrownBlock1,1624,326
block,BrownBlock1,1496,294
block,BrownBlock1,1528,294
block,BrownBlock1,1560,294
block,BrownBlock1,1592,294
block,BrownBlock1,1624,294
block,BrownBlock1,2000,294
block,BrownBlock1,2096,294
block,BrownBlock1,2192,294
block,BrownBlock1,2600,390
block,BrownBlock1,2600,358
block,BrownBlock1,2600,326
block,BrownBlock1,2600,294
block,BrownBlock1,2600,262
block,BrownBlock1,2600,230
block,BrownBlock1,2600,198
block,BrownBlock1,2600,166
block,BrownBlock1,2568,166
block,BrownBlock1,2632,166
block,BrownBlock1,2400,230
block,BrownBlock1,2432,230
block,MusBlock,2048,100
block,FlowerBlock,2144,100
block,MusBlock,1530,100
block,StarBlock,360,120
block,pipe,1000,350
enemy,Goomba,600,366
enemy,Goomba,2048,366
item,Coin,950,200
item,Coin,1000,200
item,Coin,1050,200
item,Coin,1100,200
item,Coin,950,150
item,Coin,1000,150
item,Coin,1050,150
item,Coin,1100,150
item,Coin,1650,100
item,Coin,1700,80
item,Coin,1750,60
item,Coin,1800,80
item,Coin,1850,100
item,Coin,1650,140
item,Coin,1700,120
item,Coin,1750,100
item,Coin,1800,120
item,Coin,1850,140
item,Coin,2560,100
item,Coin,2600,100
item,Coin,2640,100
item,Coin,2560,80
item,Coin,2600,80
item,Coin,2640,80
